path	summary	usage	stability	json	mutating	options	example
safe bash	Run a shell command through guard policy.	pmctl safe bash --role <role> --runtime <runtime> [--] <command>	experimental	false	true	--role, --runtime, --	pmctl safe bash --role reviewer --runtime codex -- "git diff --check"
validate brief	Validate a dispatch brief.	pmctl validate brief <path> [options]	experimental	false	false	--schema	pmctl validate brief /tmp/brief.md
decision add	Append a structured decision.	pmctl decision add --date <date> --title <title> --path <path> [options]	experimental	true	true	--date, --title, --path, --closes, --tags, --evidence, --json	pmctl decision add --date 2026-01-01 --title "Example" --path DECISIONS.md
gate run	Start the pull-request gate.	pmctl gate run [options]	experimental	false	true	--executor, --test-cmd, --cd	pmctl gate run --executor codex
gate verify	Verify gate artifact validity, subject freshness, and policy applicability.	pmctl gate verify <result-file> [options]	experimental	true	false	--cd, --require-tier, --require-mode, --json	pmctl gate verify .gate-results/result.md --cd . --json
gate wait	Wait for a detached gate run.	pmctl gate wait <gate-id> [options]	experimental	false	true	--cd, --timeout	pmctl gate wait gate-123 --cd .
gate cancel	Cancel a gate parent operation and only its recorded child runs.	pmctl gate cancel <operation-id> --cd <dir> [--grace <seconds>]	experimental	false	true	--cd, --grace	pmctl gate cancel op-20260724T000000Z-abcdef --cd .
gate reconcile	Reconcile a gate operation from trusted child terminal claims.	pmctl gate reconcile <operation-id> --cd <dir>	experimental	false	true	--cd	pmctl gate reconcile op-20260724T000000Z-abcdef --cd .
context index	Build the repository context index.	pmctl context index [<repo-root>] [--source <repo|memory>]	experimental	false	true	--source	pmctl context index . --source repo
context update	Update the repository context index.	pmctl context update [<repo-root>] [<path>]	experimental	false	true	none	pmctl context update . README.md
context status	Show context index status.	pmctl context status [<repo-root>] [--json]	experimental	true	false	--json	pmctl context status . --json
context query	Query indexed project context.	pmctl context query [<repo-root>] [options] -- <query>	experimental	false	true	--domain, --source, --	pmctl context query . --source repo -- "dispatch lifecycle"
context pack	Build a bounded JSON context pack.	pmctl context pack [<repo-root>] --task-id <id> --query <term>... [--source <repo|memory|all>]	experimental	true	true	--task-id, --query, --source	pmctl context pack . --task-id CC-NNN --query "dispatch lifecycle"
context reuse-scan	Scan indexed context for prior art.	pmctl context reuse-scan [<repo-root>] <description>	experimental	false	true	none	pmctl context reuse-scan . "dispatch lifecycle"
context prompt-scan	Scan a prompt for context references.	pmctl context prompt-scan [<repo-root>] <prompt>	experimental	false	true	none	pmctl context prompt-scan . "dispatch lifecycle"
memory dir	Print the canonical project memory directory.	pmctl memory dir [working-directory]	experimental	false	false	none	pmctl memory dir .
memory resolve	Resolve canonical project memory configuration.	pmctl memory resolve [options]	experimental	true	false	--repo-root, --allow-non-git, --json	pmctl memory resolve --repo-root . --json
memory config	Read or update memory configuration.	pmctl memory config <set|migrate|lint> [options]	experimental	true	true	--repo-root, --memory-dir, --json	pmctl memory config lint --json
memory append-episode	Append a canonical memory episode.	pmctl memory append-episode --repo-root <path> --host <name> --summary <text> [--json]	experimental	true	true	--repo-root, --host, --summary, --json	pmctl memory append-episode --repo-root . --host codex --summary "Completed work"
memory doctor	Diagnose canonical memory configuration; exits 0 healthy, 1 issues found, 2 usage error.	pmctl memory doctor [--json] [--repo-root <path>]	experimental	true	false	--repo-root, --json	pmctl memory doctor --repo-root . --json
memory shard	Build memory retrieval shards.	pmctl memory shard [--repo-root <path>]	experimental	false	true	--repo-root	pmctl memory shard --repo-root .
memory rebuild-summary	Rebuild the memory summary index.	pmctl memory rebuild-summary [--repo-root <path>]	experimental	false	true	--repo-root	pmctl memory rebuild-summary --repo-root .
pre-release audit	Audit a milestone before release.	pmctl pre-release audit <milestone-id>	experimental	false	false	none	pmctl pre-release audit v1.0.0
pm prepare	Prepare a bounded PM execution plan.	pmctl pm prepare --request <text> [options]	experimental	true	true	--request, --cd, --focus, --host, --json	pmctl pm prepare --request "Implement the active ticket" --cd .
pm run	Run a prepared PM batch.	pmctl pm run --plan <path> [options]	experimental	true	true	--plan, --cd, --json	pmctl pm run --plan /tmp/pm-plan.json
commands	List the canonical command registry.	pmctl commands --json	experimental	true	false	--json	pmctl commands --json
