name_or_pattern	owner_domain	input_class	default_source	precedence	propagation	risk_or_side_effect	test_isolation	fixture_scrub
PM_DISPATCH_LOCK_STALE_SECS	shared-runtime	public-override	implementation default	explicit env then built-in	consume inside locking helper	controls stale lock recovery	aged fixture lock	no
PM_DISPATCH_WAIT_POLL_INTERVAL	shared-runtime	public-override	2	explicit env then built-in	consume inside dispatch wait	poll cadence only	fast fixture value	no
PM_GATE_WAIT_DEFAULT_TIMEOUT	shared-runtime	public-override	1200	explicit env then built-in	consume inside gate wait	bounds authenticated gate wait	short timeout fixture	no
PM_GATE_WAIT_POLL_INTERVAL	shared-runtime	public-override	2	explicit env then built-in	consume inside gate wait	poll cadence only	fast fixture value	no
PM_DISPATCH_GATE_WORKSPACE	shared-runtime	public-override	resolved workspace root	explicit env then host-safe fallback	pass to gate workspace resolver	controls reviewer writable artifact boundary	fixture path and containment cases	no
GATE_RUN_DIR_OVERRIDE	shared-runtime	internal-injection	generated run directory	explicit internal override then generated path	pass only through gate supervisor	changes gate artifact root	fixture-local path and relocation case	no
OUTPUT_OVERRIDE	shared-runtime	internal-injection	worktree gate result path	explicit internal override then default	pass only through gate wrapper	changes human result output path	fixture-local path	no
REVIEWER_DEFINITION_DIR	shared-runtime	internal-injection	repo reviewer definitions	explicit internal override then repo default	pass only to gate reviewer loading	can replace reviewer instructions	trusted fixture directory only	no
PM_DISPATCH_CONTEXT_AUTOBUILD	shared-context	public-override	enabled	explicit env then enabled	consume inside context runtime	controls initial context database creation	fixture repo and disabled case	no
PM_DISPATCH_CONTEXT_AUTOREFRESH	shared-context	public-override	enabled	explicit env then enabled	consume inside context runtime	controls context database refresh	fixture repo and disabled case	no
PM_DISPATCH_CONTEXT_PACK_MAX_ITEMS	shared-context	public-override	200	explicit env then default	consume inside context pack budget	overrides the global item cap for context pack output	fixture repo, valid and invalid override	no
PM_DISPATCH_CONTEXT_PACK_MAX_BYTES	shared-context	public-override	200000	explicit env then default	consume inside context pack budget	overrides the global byte cap for context pack output	fixture repo, valid and invalid override	no
PM_DISPATCH_CONTEXT_PACK_MAX_TERMS	shared-context	public-override	50	explicit env then default	consume inside context pack term-count guard	bounds --query term count before any per-term accumulation	fixture repo, valid and invalid override	no
PM_DISPATCH_DISABLE_PROMPT_CONTEXT	shared-context	hook-control	disabled	explicit env then disabled	consume inside prompt hook only	disables optional prompt context injection	enabled and disabled hook fixtures	no
PM_DISPATCH_PROMPT_CONTEXT_PMCTL	shared-context	hook-injection	repo cli/pmctl	explicit env then repo path	consume inside prompt hook only	can replace the executable invoked by hook	trusted stub executable	no
PM_DISPATCH_PROMPT_CONTEXT_INITIAL_TIMEOUT	shared-context	public-override	prompt timeout contract	explicit env then declared default	consume inside prompt hook	bounds initial index creation	short timeout and cleanup fixture	no
PM_DISPATCH_PROMPT_CONTEXT_TIMEOUT	shared-context	public-override	prompt timeout contract	explicit env then declared default	consume inside prompt hook	bounds incremental refresh	short timeout fixture	no
PM_DISPATCH_PROMPT_SCAN_MAX_TERMS	shared-context	public-override	8	explicit env then built-in	consume inside context scanner	bounds prompt-derived retrieval terms	boundary values	no
PM_DISPATCH_GC_KEEP_LAST	shared-runtime	public-override	10	explicit env then built-in	consume inside artifact GC	controls retained artifacts	fixture state tree	no
PM_DISPATCH_GC_MAX_AGE_DAYS	shared-runtime	public-override	30	explicit env then built-in	consume inside artifact GC	controls time-based deletion	aged fixture artifacts	no
PM_DISPATCH_GC_GRACE_DAYS	shared-runtime	public-override	3	explicit env then built-in, flag overrides both	consume inside artifact GC	controls summarize-to-delete grace window	fixture with a pre-seeded runs-summary.jsonl entry	no
PM_DISPATCH_INSTALL_ROOT	shared-runtime	public-override	HOME/.pm-dispatch	explicit env then HOME fallback	consume inside product receipt resolver	moves the install receipt without selecting a host	fixture-local receipt root and migration coverage	no
PM_DISPATCH_MANIFEST_PATH	shared-runtime	internal-injection	unset	installer-derived receipt path only	pass from installer to portable manifest helpers	keeps manifest refresh and flush bound to the product receipt	install lifecycle fixture verifies selected-host receipt	no
PM_RELEASE_VERIFY_CONTEXT_REPO	ops-release	public-override	REPO_ROOT (own script location)	explicit env then REPO_ROOT default	consume inside release-verify Phase 3 context smoke only	redirects Phase 3 pmctl context index/query/pack/reuse-scan target away from the real repo	test-release-verify always sets an isolated git-archive fixture	no
PM_DISPATCH_TEST_MAX_JOBS	test-harness	test-config	4	explicit env then built-in	consume inside suite runner	parallelism and contention	bounded fixture value	yes
PM_DISPATCH_TEST_SUITE_TIMEOUT_SECS	test-harness	test-config	900	explicit env then built-in	consume inside suite runner	per-suite deadline	short hanging-suite fixture	yes
PM_DISPATCH_TEST_PROGRESS_SECS	test-harness	test-config	60	explicit env then built-in	consume inside suite runner	progress heartbeat cadence	fast fixture value	yes
TEST_GUARDS_*	test-harness	test-injection	test defaults	explicit test env then test default	never propagate to production modules	fault injection timeouts and diagnostics	clear after each case	no
CODEX_GATE_STUB_*	test-harness	test-injection	none	explicit test env only	consume only in gate test stubs	artifact tamper hang and verdict injection	clear after each case	no
CLAUDE_GATE_STUB_*	test-harness	test-injection	none	explicit test env only	consume only in gate test stubs	gate-mode and call-marker injection	clear after each case	no
RUN_TESTS_*	test-harness	test-injection	none	explicit test env only	consume only in runner test stubs	argument capture mutation and forced status	clear after each case	no
CLAUDE_CONFIG_TEST_*	test-harness	test-injection	none	explicit test env only	consume only in install and suite fixtures	preflight suppression and fixture HOME	clear and isolate full HOME	no
_PM_DISPATCH_PREFLIGHT_RUNNER	test-harness	test-injection	repo run-all-tests	explicit test env then repo runner	consume only in installer preflight	can replace executable run during install	trusted fixture stub only	no
PM_E2E_PMCTL	test-harness	test-injection	repo cli/pmctl	explicit test env then repo path	consume only in E2E test	selects command under test	trusted fixture executable	no
ANTHROPIC_API_KEY	adapter-claude	secret-passthrough	none	parent environment	pass only to Claude executable	credential must never enter inventory values logs or child hosts	presence-only fake secret fixture	no
CLAUDE_CODE_OAUTH_TOKEN	adapter-claude	secret-passthrough	none	parent environment	pass only to Claude executable	credential must never enter logs or artifacts	presence-only fake secret fixture	no
OPENAI_API_KEY	adapter-codex	secret-passthrough	none	parent environment	pass only to Codex executable	credential must never enter logs or artifacts	presence-only fake secret fixture	no
XAI_API_KEY	adapter-grok	secret-passthrough	none	parent environment	presence-only probe in doctor; never read value	credential must never enter inventory values logs or artifacts	presence-only fake secret fixture	no
GROK_API_KEY	adapter-grok	secret-passthrough	none	parent environment	presence-only probe in doctor; never read value	credential must never enter inventory values logs or artifacts	presence-only fake secret fixture	no
PM_TEST_CASE_SKIPS_FILE	test-harness	test-config	unset	explicit env only	set by the suite runner per launched suite and appended by th_summary	a stale inherited path misattributes one suites case skips to another	runner-owned path per suite	no
PM_TEST_SUITE_RESULTS_FILE	test-harness	test-config	unset	explicit env only	consumed by the suite runner that a fixture launches	an inherited sink lets a fixture overwrite the outer callers evidence	fixture-owned path per case	yes
PM_DISPATCH_PREFLIGHT_TEST_RESULT	test-harness	test-config	unset	explicit env only	exported by pr-gate into its preflight child	an inherited sink lets a fixture overwrite the gates own preflight evidence	fixture-owned path per case	yes
PM_DISPATCH_TEST_PR_GATE_CASE_TIMEOUT_SECS	test-harness	test-config	built-in 120	explicit env then built-in	consumed by test-pr-gate.sh itself, not by a launched subject	raising it hides a case that outgrew its watchdog	operator knob for the suite; NOT scrubbed	no
PM_DISPATCH_TEST_COMMAND_IDENTITY	shared-runtime	internal-injection	unset	exported by pr-gate preflight	pr-gate to the suite runner it invokes	binds recorded results to the callers preflight command digest	preserved: scrubbing it breaks the callers evidence binding	no
